Src	L_bol	L_bol_upl	L_bol_lol	M_env	M_env_upl	M_env_lol	R_out	R_out_upl	R_out_lol	p_rho	p_rho_upl	p_rho_lol	n_1000AU	n_1000AU_upl	n_1000AU_lol	n_10K	T_dust	ms	clr
S140	19000	3800	3800	250	500	62.5	80000	...	...	1.25	0.25	0.25	3.00E+06	3.30E+06	9.38E+05	3000000	...	d30	tab:blue
CepA	22000	4400	4400	280	560	70	110000	...	...	1.5	0.25	0.25	5.00E+06	6.80E+06	1.58E+06	5000000	...	d30	tab:blue
Sh2-158	190000	38000	38000	...	...	...	...	...	...	...	...	...	...	...	...	...	...	d30	tab:blue
NGC7538-IRS1	150000	30000	30000	750	1500	187.5	110000	...	...	1.5	0.25	0.25	1.20E+07	1.96E+07	4.22E+06	12000000	...	d30	tab:blue
NGC7538-IRS9	36000	7200	7200	120	240	30	56000	...	...	1.75	0.25	0.25	1.20E+07	1.38E+07	5.16E+06	12000000	...	d30	tab:blue
#Sh2-157	29000	5800	5800	10	20	2.5	39000	...	...	0.75	0.25	0.25	1.00E+05	5.80E+04	3.16E+04	100000	...	d30	tab:blue
B228	1.0	0.2	0.2	0.8	1.6	0.3	...	...	...	1.30	0.5	0.5	1.20E+06	2.40E+06	4.00E+05		...	*50	maroon
IRAS03282+3035	1.2	0.3	0.3	2.4	4.8	0.8	...	...	...	1.30	0.5	0.5	1.90E+06	3.80E+06	6.33E+05		...	*50	maroon
G5.89-0.39	25119	7536	7536	195	58.5	58.5	...	...	...	2.25	0.25	1	...	...	...	...	...	s30	tab:green
G9.62+0.19	398107	119432	119432	1897	569	569	...	...	...	1.5	0.25	0.25	...	...	...	...	...	s30	tab:green
G10.47+0.03	398107	119432	119432	2518	755	755	...	...	...	2	0.25	0.25	...	...	...	...	...	s30	tab:green
G12.21-0.10	891251	267375	267375	1537	461	461	...	...	...	1.25	0.25	0.25	...	...	...	...	...	s30	tab:green
G13.87+0.28	169824	50947	50947	905	272	272	...	...	...	1.25	0.25	0.25	...	...	...	...	...	s30	tab:green
G29.96-0.02	794328	238298	238298	726	218	218	...	...	...	1.5	0.25	0.25	...	...	...	...	...	s30	tab:green
G34.26+0.15	316228	94868	94868	2365	710	710	...	...	...	2.25	0.25	1	...	...	...	...	...	s30	tab:green
G45.47+0.05	1995262	598579	598579	821	246	246	...	...	...	1.25	0.25	0.25	...	...	...	...	...	s30	tab:green
G75.78+0.34	194984	58495	58495	361	108	108	...	...	...	1.75	0.25	0.25	...	...	...	...	...	s30	tab:green
IRAS05553+1631	6310	1577	1262	635	159	159	138368.983957219	69184	69184	1.5	0.5	0.5	7.03E+06	4.81E+07	7.97E+05	...	...	.30	tab:orange
IRAS18102-1800	12589	3147	2518	610	153	153	96925	48463	48463	1.5	0.5	0.5	1.15E+07	6.41E+07	1.56E+06	...	...	.30	tab:orange
IRAS18151-1208	31623	7906	6325	4302	1076	1076	100936	50468	50468	1.5	0.5	0.5	7.64E+07	4.36E+08	1.01E+07	...	...	.30	tab:orange
IRAS18159-1550	19953	4988	3991	2448	612	612	161765	80882	80882	0.5	0.5	0.5	2.21E+05	2.03E+06	2.08E+04	...	...	.30	tab:orange
IRAS18182-1433	50119	12530	10024	4042	1010	1010	271390	135695	135695	2	0.5	0.5	1.79E+08	1.31E+09	1.63E+07	...	...	.30	tab:orange
IRAS18247-1147	39811	9953	7962	1823	456	456	475936	237968	237968	1.5	0.5	0.5	3.16E+06	4.28E+07	1.93E+05	...	...	.30	tab:orange
IRAS18264-1152	39811	9953	7962	2016	504	504	235963	117981	117981	2	0.5	0.5	1.03E+08	6.93E+08	1.00E+07	...	...	.30	tab:orange
IRAS18306-0835	25119	6280	5024	6097	1524	1524	360294	180147	180147	1.5	0.5	0.5	1.61E+07	1.87E+08	1.13E+06	...	...	.30	tab:orange
IRAS18337-0743	19953	4988	3991	2491	623	623	106283	53142	53142	1	0.5	0.5	5.30E+06	3.57E+07	6.42E+05	...	...	.30	tab:orange
IRAS18345-0641	50119	12530	10024	2861	715	715	278743	139372	139372	1	0.5	0.5	8.85E+05	1.02E+07	6.62E+04	...	...	.30	tab:orange
IRAS18372-0541	3981	995	796	392	98	98	8021	4011	4011	1	0.5	0.5	1.46E+08	1.65E+08	6.46E+07	...	...	.30	tab:orange
IRAS18385-0512	10000	2500	2000	1613	403	403	84225	42112	42112	2	0.5	0.5	2.30E+08	8.42E+08	3.76E+07	...	...	.30	tab:orange
IRAS18426-0204	794	199	159	36	9	9	60160	30080	30080	1	0.5	0.5	2.39E+05	1.15E+06	3.85E+04	...	...	.30	tab:orange
IRAS18431-0312	25119	6280	5024	1464	366	366	261364	130682	130682	1	0.5	0.5	5.15E+05	5.73E+06	3.98E+04	...	...	.30	tab:orange
IRAS18440-0148	79433	19858	15887	378252	94563	94563	150401	75201	75201	0.5	0.5	0.5	4.09E+07	3.61E+08	4.01E+06	...	...	.30	tab:orange
IRAS18445-0222	63096	15774	12619	5853	1463	1463	542112	271056	271056	1.5	0.5	0.5	8.36E+06	1.21E+08	4.78E+05	...	...	.30	tab:orange
IRAS18454-0136	10000	2500	2000	529	132	132	225936	112968	112968	1.5	0.5	0.5	2.81E+06	2.53E+07	2.49E+05	...	...	.30	tab:orange
IRAS18470-0044	100000	25000	20000	13193	3298	3298	355615	177807	177807	1.5	0.5	0.5	3.54E+07	4.10E+08	2.51E+06	...	...	.30	tab:orange
IRAS18521+0134	19953	4988	3991	474	119	119	159091	79545	79545	1	0.5	0.5	4.50E+05	3.81E+06	4.46E+04	...	...	.30	tab:orange
IRAS18530+0215	79433	19858	15887	12277	3069	3069	338235	169118	169118	1.5	0.5	0.5	3.56E+07	4.00E+08	2.58E+06	...	...	.30	tab:orange
IRAS18566+0408	79433	19858	15887	4891	1223	1223	492647	246324	246324	1.5	0.5	0.5	8.06E+06	1.11E+08	4.84E+05	...	...	.30	tab:orange
IRAS19012+0536	31623	7906	6325	3404	851	851	137701	68850	68850	1.5	0.5	0.5	3.80E+07	2.59E+08	4.31E+06	...	...	.30	tab:orange
IRAS19035+0641	5012	1253	1002	280	70	70	176471	88235	88235	1	0.5	0.5	2.16E+05	1.94E+06	2.03E+04	...	...	.30	tab:orange
IRAS19217+1651	158489	39622	31698	13263	3316	3316	247995	123997	123997	1.5	0.5	0.5	6.12E+07	5.81E+08	5.18E+06	...	...	.30	tab:orange
IRAS19220+1432	39811	9953	7962	3329	832	832	166444	83222	83222	1	0.5	0.5	2.89E+06	2.50E+07	2.80E+05	...	...	.30	tab:orange
IRAS19403+2258	10000	2500	2000	1739	435	435	328877	164439	164439	1	0.5	0.5	3.86E+05	4.87E+06	2.66E+04	...	...	.30	tab:orange
IRAS19411+2306	5012	1253	1002	167	42	42	158422	79211	127447	1	0.5	0.5	1.60E+05	1.35E+06	1.59E+04	...	...	.30	tab:orange
IRAS20051+3435	1995	499	399	104	26	26	95588	47794	47794	1	0.5	0.5	2.73E+05	1.73E+06	3.49E+04	...	...	.30	tab:orange
IRAS20126+4104	12589	3147	2518	1676	419	419	94251	47126	47126	1.5	0.5	0.5	3.30E+07	1.81E+08	4.53E+06	...	...	.30	tab:orange
IRAS20216+4107	3162	791	632	271	68	68	45455	22727	22727	1	0.5	0.5	3.15E+06	1.28E+07	5.85E+05	...	...	.30	tab:orange
IRAS20293+3952	3162	791	632	151	38	38	92246	46123	46123	1	0.5	0.5	4.27E+05	2.65E+06	5.55E+04	...	...	.30	tab:orange
IRAS20319+3958	3981	995	796	1746	437	437	38770	19385	19385	1.5	0.5	0.5	1.30E+08	4.11E+08	2.79E+07	...	...	.30	tab:orange
IRAS22134+5834	7943	1986	1589	688	172	172	145722	72861	72861	1	0.5	0.5	7.79E+05	6.27E+06	8.06E+04	...	...	.30	tab:orange
IRAS23033+5951	25119	6280	5024	2530	632	632	264706	132353	132353	1.5	0.5	0.5	1.06E+07	1.04E+08	8.67E+05	...	...	.30	tab:orange
IRAS23139+5939	31623	7906	6325	2277	569	569	452540	226270	226270	1.5	0.5	0.5	4.26E+06	5.62E+07	2.67E+05	...	...	.30	tab:orange
IRAS23151+5912	63096	15774	12619	12747	3187	3187	411765	205882	205882	1.5	0.5	0.5	2.75E+07	3.44E+08	1.81E+06	...	...	.30	tab:orange
IRAS18306-0835	25119	6280	5024	1180	295	295	360294	180147	180147	1.5	0.5	0.5	3.11E+06	3.62E+07	2.18E+05	...	...	.30	tab:orange
IRAS18472-0022	7943	1986	1589	439	110	110	205214	102607	102607	1	0.5	0.5	2.50E+05	2.44E+06	2.18E+04	...	...	.30	tab:orange
IRAS19410+2336	19953	4988	3991	1559	390	390	80214	40107	40107	1.5	0.5	0.5	3.91E+07	1.94E+08	5.82E+06	...	...	.30	tab:orange
IRAS22570+5912	39811	9953	7962	4976	1244	1244	163770	81885	81885	0.5	0.5	0.5	4.35E+05	4.02E+06	4.08E+04	...	...	.30	tab:orange
CB3	1000	300	300	120	36	36	103000	1.30E+05	103000	2.2	0.1	0.1	2.83E+07	8.50E+06	8.50E+06	...	29	D30	navy
CepE	150	45	45	35	10.5	10.5	35800	7000	7000	1.9	0.1	0.1	9.04E+06	2.71E+06	2.71E+06	...	25	D30	navy
IC1396N_BIMA2	100	30	30	90	27	27	29600	6000	6000	1.2	0.1	0.1	4.37E+06	1.31E+06	1.31E+06	...	20	D30	navy
NGC7129_FIRS2	500	150	150	50	15	15	18600	2000	2000	1.4	0.1	0.1	8.94E+06	2.68E+06	2.68E+06	...	26	D30	navy
Ser-FIRS1	33	9.9	9.9	5	1.5	1.5	5900	300	300	1.5	0.1	0.1	6.29E+06	1.89E+06	1.89E+06	...	24	D30	navy
OMC2-FIR4	1000	500	500	30	15	15	12000	3600	3600	0.6	0.2	0.2	2.22E+06	6.67E+05	6.67E+05	...	30	D30	navy
IRAS16293-2422	22	6.6	6.6	2.1	0.63	0.63	6900	2070	2070	1.8	0.1	0.1	3.00E+06	9.00E+05	9.00E+05	100000	28	D30	navy
L1448-MM	9	1.8	1.8	3.9	3.9	1.95	6100	6100	3050	1.5	0.3	0.3	3.90E+06	2.53E+06	3.25E+06	40000	...	v30	c
NGC1333-IRAS2A	35.7	7.14	7.14	5.1	5.1	2.55	17000	17000	8500	1.7	0.3	0.3	1.70E+06	1.91E+06	1.05E+06	17000	...	v30	c
NGC1333-IRAS4A	9.1	1.82	1.82	5.6	5.6	2.8	6900	6900	3450	1.8	0.3	0.3	6.70E+06	4.00E+06	5.57E+06	380000	...	v30	c
NGC1333-IRAS4B	4.4	0.88	0.88	3	3	1.5	3800	3800	1900	1.4	0.4	0.4	5.70E+06	2.57E+06	5.42E+06	140000	...	v30	c
L1527	1.9	0.38	0.38	0.9	0.9	0.45	4600	4600	2300	0.9	0.3	0.3	8.10E+05	4.38E+05	6.66E+05	120000	...	v30	c
Ced110-IRS4	0.8	0.16	0.16	0.2	0.2	0.1	3400	3400	1700	1.4	0.4	0.4	3.90E+05	2.47E+05	4.46E+05	...	...	v30	c
BHR71	14.8	2.96	2.96	2.7	2.7	1.35	9900	9900	4950	1.7	0.3	0.3	1.80E+06	1.48E+06	1.32E+06	...	...	v30	c
IRAS15398	1.6	0.32	0.32	0.5	0.5	0.25	2700	2700	1350	1.4	0.4	0.4	1.60E+06	5.50E+05	1.73E+06	...	...	v30	c
L483	10.2	2.04	2.04	4.4	4.4	2.2	12000	12000	6000	0.9	0.3	0.3	5.10E+05	5.76E+05	3.26E+05	34000	...	v30	c
Ser-SMM1	30.4	6.08	6.08	16.1	16.1	8.05	12000	12000	6000	1.3	0.3	0.3	4.10E+06	4.25E+06	2.69E+06	...	...	v30	c
Ser-SMM4	1.9	0.38	0.38	2.1	2.1	1.05	2800	2800	1400	1	0.3	0.3	5.40E+06	2.05E+06	5.43E+06	...	...	v30	c
Ser-SMM3	5.1	1.02	1.02	3.2	3.2	1.6	6700	6700	3350	0.8	0.3	0.3	1.10E+06	8.68E+05	8.27E+05	...	...	v30	c
L723	3.6	0.72	0.72	1.3	1.3	0.65	6600	6600	3300	1.2	0.3	0.3	8.00E+05	5.82E+05	6.23E+05	86000	...	v30	c
B335	3.3	0.66	0.66	1.2	1.2	0.6	4900	4900	2450	1.4	0.4	0.4	1.50E+06	8.76E+05	1.34E+06	...	...	v30	c
L1157	4.7	0.94	0.94	1.5	1.5	0.75	5400	5400	2700	1.6	0.3	0.3	2.00E+06	1.11E+06	1.74E+06	190000	...	v30	c
NGC1333-IRAS3	41.8	8.36	8.36	9.5	9.5	4.75	18000	18000	9000	1.5	0.3	0.3	1.90E+06	2.37E+06	1.13E+06	...	...	v30	c
L1489	3.8	0.76	0.76	0.2	0.2	0.1	6700	6700	3350	1.5	0.3	0.3	1.90E+05	1.04E+05	1.41E+05	2100	...	v30	c
L1551-IRS5	22.1	4.42	4.42	2.3	2.3	1.15	14000	14000	7000	1.8	0.3	0.3	1.20E+06	1.12E+06	7.91E+05	7200	...	v30	c
TMR1	3.8	0.76	0.76	0.2	0.2	0.1	7900	7900	3950	1.6	0.3	0.3	2.10E+05	6.24E+04	1.22E+05	1300	...	v30	c
TMC1A	2.7	0.54	0.54	0.2	0.2	0.1	6700	6700	3350	1.6	0.3	0.3	2.20E+05	1.07E+05	1.61E+05	18000	...	v30	c
TMC1	0.9	0.18	0.18	0.2	0.2	0.1	5000	5000	2500	1.1	0.3	0.3	1.80E+05	1.13E+05	1.53E+05	8500	...	v30	c
HH46-IRS	27.9	5.58	5.58	4.4	4.4	2.2	17000	17000	8500	1.6	0.3	0.3	1.20E+06	1.38E+06	7.27E+05	...	...	v30	c
IRAS12496	35.4	7.08	7.08	0.8	0.8	0.4	6100	6100	3050	1.6	0.3	0.3	9.20E+05	5.29E+05	7.55E+05	...	...	v30	c
GSS30-IRS1	13.9	2.78	2.78	0.1	0.1	0.05	16000	16000	8000	1.6	0.3	0.3	1.70E+05	1.83E+04	1.83E+04	...	...	v30	c
Elias29	14.1	2.82	2.82	0.04	0.04	0.02	16000	16000	8000	1.6	0.3	0.3	8.30E+04	7.33E+03	7.33E+03	...	...	v30	c
Oph-IRS63	1	0.2	0.2	0.3	0.3	0.15	3200	3200	1600	1.6	0.3	0.3	6.90E+05	4.17E+05	8.48E+05	...	...	v30	c
RNO91	2.6	0.52	0.52	0.5	0.5	0.25	6000	6000	3000	1.2	0.3	0.3	3.30E+05	2.83E+05	2.93E+05	...	...	v30	c
RCrA-IRS5A	7.1	1.42	1.42	2	2	1	10000	10000	5000	0.8	0.3	0.3	2.80E+05	2.95E+05	1.90E+05	...	...	v30	c
HH100-IRS	17.7	3.54	3.54	8.1	8.1	4.05	16000	16000	8000	0.5	0.3	0.3	2.20E+05	2.60E+05	1.16E+05	...	...	v30	c
